ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FRM,Mean,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FRM,Occurence,1
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FRM,Variance,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FRM,Max,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FWM,Mean,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FWM,Occurence,1
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FWM,Variance,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FWM,Max,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FNW,Mean,0
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FNW,Occurence,1
LAPTOP-7ARP8SUO,AdventureWorks,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AdventureWorks.mdf,ROWS,2022-08-05 15:25:48,FNW,Variance,0
