ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCS,Mean,78212.48
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCS,Occurence,19
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCS,Variance,4424904
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCS,Max,81443.18
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCP,Mean,100
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCP,Occurence,18
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCP,Variance,0
DBPSQLANA01,RnD,,,2022-10-25 09:13:46,DCP,Max,100
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCS,Mean,0.36
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCS,Occurence,19
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCS,Variance,0
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCS,Max,0.36
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCP,Mean,0
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCP,Occurence,18
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCP,Variance,0
DBPSQLANA01,DBAdmin,,,2022-10-25 09:13:46,DCP,Max,0
DBPSQLANA01,,,,2022-10-25 09:13:46,IM,Mean,128563
DBPSQLANA01,,,,2022-10-25 09:13:46,IM,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:13:46,IM,Variance,162.73685
DBPSQLANA01,,,,2022-10-25 09:13:46,IM,Max,128611
DBPSQLANA01,,,,2022-10-25 09:13:46,IMP,Mean,100
DBPSQLANA01,,,,2022-10-25 09:13:46,IMP,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:13:46,IMP,Variance,0
DBPSQLANA01,,,,2022-10-25 09:13:46,IMP,Max,100
DBPSQLANA01,,,,2022-10-25 09:13:46,ICP,Mean,40.57895
DBPSQLANA01,,,,2022-10-25 09:13:46,ICP,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:13:46,ICP,Variance,50.34903
DBPSQLANA01,,,,2022-10-25 09:13:46,ICP,Max,54
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FRM,Mean,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FRM,Variance,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FRM,Max,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FWM,Mean,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FWM,Variance,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FWM,Max,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FNW,Mean,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:13:46,FNW,Occurence,18
