ServerName,DatabaseName,LogicalName,PhysicalFullName,FileType,SizeMB,IsMemoryOptimizedDataOptionEnabled,TimeDataCollected
SAMPLEHOST01\SQL2019,AdventureWorks2019,AdventureWorks2017,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\AdventureWorks2019.mdf,Rows,10024,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,AdventureWorks2019,AdventureWorks2017_log,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\AdventureWorks2019_log.ldf,Log,692,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,AdventureWorksDW2019,AdventureWorksDW2017,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\AdventureWorksDW2019.mdf,Rows,10000,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,AdventureWorksDW2019,AdventureWorksDW2017_log,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\AdventureWorksDW2019_log.ldf,Log,72,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,SampleAppDb01,SampleAppDb01,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\SampleAppDb01.mdf,Rows,8,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,SampleAppDb01,SampleAppDb01_log,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\SampleAppDb01_log.ldf,Log,8,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,sqlnexus,sqlnexus,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\sqlnexus.mdf,Rows,50,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,sqlnexus,sqlnexus_log,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\sqlnexus_log.ldf,Log,8,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,SampleUtilityDb01,SampleUtilityDb01,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\SampleUtilityDb01.mdf,Rows,50,False,2022-08-16 08:37:51
SAMPLEHOST01\SQL2019,SampleUtilityDb01,SampleUtilityDb01_log,C:\Program Files\Microsoft SQL Server\MSSQL15.SQL2019\MSSQL\DATA\SampleUtilityDb01_log.ldf,Log,8,False,2022-08-16 08:37:51


